Modelo,C,alpha,Parámetro,Coeficiente
Ridge,0.0003,1666.6666666666667,X1^4,-0.02532065353820744
Ridge,0.0003,1666.6666666666667,X1^3 X2,0.002799632749068833
Ridge,0.0003,1666.6666666666667,X1^2 X2^2,-0.011487394943324462
Ridge,0.0003,1666.6666666666667,X1 X2^3,0.00021281213532622516
Ridge,0.0003,1666.6666666666667,X2^4,0.0072335348909751225
Ridge,0.0003,1666.6666666666667,X1^5,-0.0019368345524735397
Ridge,0.0003,1666.6666666666667,X1^4 X2,0.015781485717724808
Ridge,0.0003,1666.6666666666667,X1^3 X2^2,0.001207016532361134
Ridge,0.0003,1666.6666666666667,X1^2 X2^3,0.025975183899927094
Ridge,0.0003,1666.6666666666667,X1 X2^4,0.00026621649493622075
Ridge,0.0003,1666.6666666666667,X2^5,0.04009625146689894
Ridge,0.0003,1666.6666666666667,intercepto,-0.2422877628837736
Ridge,0.001,500.0,X1,-0.003996574717520513
Ridge,0.001,500.0,X2,0.10062431534301348
Ridge,0.001,500.0,X1^2,-0.06176923179398588
Ridge,0.001,500.0,X1 X2,0.0034124192579794367
Ridge,0.001,500.0,X2^2,0.011299663362060704
Ridge,0.001,500.0,X1^3,-0.0046791375040905825
Ridge,0.001,500.0,X1^2 X2,0.04281288808855027
Ridge,0.001,500.0,X1 X2^2,0.0032272023668476705
Ridge,0.001,500.0,X2^3,0.08674610979507047
Ridge,0.001,500.0,X1^4,-0.056913771340509234
Ridge,0.001,500.0,X1^3 X2,0.006441358679930993
Ridge,0.001,500.0,X1^2 X2^2,-0.024982052530915733
Ridge,0.001,500.0,X1 X2^3,-0.00029997286767017873
Ridge,0.001,500.0,X2^4,0.011557255095195952
Ridge,0.001,500.0,X1^5,-0.00355329843369969
Ridge,0.001,500.0,X1^4 X2,0.02093233430012593
Ridge,0.001,500.0,X1^3 X2^2,0.005673784810581658
Ridge,0.001,500.0,X1^2 X2^3,0.03932724033103658
Ridge,0.001,500.0,X1 X2^4,0.0025042446938657093
Ridge,0.001,500.0,X2^5,0.07595437196424724
Ridge,0.001,500.0,intercepto,-0.2422877628837736
Ridge,0.003,166.66666666666666,X1,-0.007410723893037466
Ridge,0.003,166.66666666666666,X2,0.16963384603174728
Ridge,0.003,166.66666666666666,X1^2,-0.10181289060670781
Ridge,0.003,166.66666666666666,X1 X2,0.004840456992307852
Ridge,0.003,166.66666666666666,X2^2,0.011870467185750697
Ridge,0.003,166.66666666666666,X1^3,-0.009122727863578494
Ridge,0.003,166.66666666666666,X1^2 X2,0.052283325983521395
Ridge,0.003,166.66666666666666,X1 X2^2,0.0070539204321411406
Ridge,0.003,166.66666666666666,X2^3,0.1233974834826404
Ridge,0.003,166.66666666666666,X1^4,-0.08713372649518306
Ridge,0.003,166.66666666666666,X1^3 X2,0.008910093061775015
Ridge,0.003,166.66666666666666,X1^2 X2^2,-0.030754510436664943
Ridge,0.003,166.66666666666666,X1 X2^3,-0.0037854652446453873
Ridge,0.003,166.66666666666666,X2^4,0.009191039777567814
Ridge,0.003,166.66666666666666,X1^5,-0.007515256075061844
Ridge,0.003,166.66666666666666,X1^4 X2,0.013548374647300153
Ridge,0.003,166.66666666666666,X1^3 X2^2,0.012319074319803511
Ridge,0.003,166.66666666666666,X1^2 X2^3,0.029615344275292894
Ridge,0.003,166.66666666666666,X1 X2^4,0.005703931297188866
Ridge,0.003,166.66666666666666,X2^5,0.0964120140545738
Ridge,0.003,166.66666666666666,intercepto,-0.24228776288377357
Ridge,0.01,50.0,X1,-0.00949687503220814
Ridge,0.01,50.0,X2,0.2686817360422184
Ridge,0.01,50.0,X1^2,-0.1465657663189682
Ridge,0.01,50.0,X1 X2,0.010200030977549908
Ridge,0.01,50.0,X2^2,0.008400095577600662
Ridge,0.01,50.0,X1^3,-0.013531987151808153
Ridge,0.01,50.0,X1^2 X2,0.060372504312234884
Ridge,0.01,50.0,X1 X2^2,0.009743994918015194
Ridge,0.01,50.0,X2^3,0.14384449010196962
Ridge,0.01,50.0,X1^4,-0.10253606427045284
Ridge,0.01,50.0,X1^3 X2,0.010738823393057664
Ridge,0.01,50.0,X1^2 X2^2,-0.0161196648250345
Ridge,0.01,50.0,X1 X2^3,-0.012593709497812453
Ridge,0.01,50.0,X2^4,-0.002733970676475517
Ridge,0.01,50.0,X1^5,-0.014679372338819626
Ridge,0.01,50.0,X1^4 X2,0.0009473024543305263
Ridge,0.01,50.0,X1^3 X2^2,0.021684502382193088
Ridge,0.01,50.0,X1^2 X2^3,-0.00901747558694624
Ridge,0.01,50.0,X1 X2^4,0.006594798553822742
Ridge,0.01,50.0,X2^5,0.08229658544793934
Ridge,0.01,50.0,intercepto,-0.24228776288377357
Ridge,0.03,16.666666666666668,X1,-0.008727603486065705
Ridge,0.03,16.666666666666668,X2,0.36255663598576227
Ridge,0.03,16.666666666666668,X1^2,-0.19310057224258126
