Modelo,C,alpha,Parámetro,Coeficiente
Lasso,10.0,0.05,X1^2 X2,0.0
Lasso,10.0,0.05,X1 X2^2,0.0
Lasso,10.0,0.05,X2^3,0.054399110084432815
Lasso,10.0,0.05,X1^4,-0.0
Lasso,10.0,0.05,X1^3 X2,0.0
Lasso,10.0,0.05,X1^2 X2^2,-0.0
Lasso,10.0,0.05,X1 X2^3,0.0
Lasso,10.0,0.05,X2^4,0.0
Lasso,10.0,0.05,X1^5,-0.0
Lasso,10.0,0.05,X1^4 X2,0.0
Lasso,10.0,0.05,X1^3 X2^2,0.0
Lasso,10.0,0.05,X1^2 X2^3,0.0
Lasso,10.0,0.05,X1 X2^4,0.0
Lasso,10.0,0.05,X2^5,0.0
Lasso,10.0,0.05,intercepto,-0.24228776288377363
Lasso,30.0,0.016666666666666666,X1,-0.0
Lasso,30.0,0.016666666666666666,X2,0.5221371637697685
Lasso,30.0,0.016666666666666666,X1^2,-0.2821665956394901
Lasso,30.0,0.016666666666666666,X1 X2,0.0
Lasso,30.0,0.016666666666666666,X2^2,0.0
Lasso,30.0,0.016666666666666666,X1^3,-0.0
Lasso,30.0,0.016666666666666666,X1^2 X2,0.0
Lasso,30.0,0.016666666666666666,X1 X2^2,0.0
Lasso,30.0,0.016666666666666666,X2^3,0.0
Lasso,30.0,0.016666666666666666,X1^4,-0.0
Lasso,30.0,0.016666666666666666,X1^3 X2,0.0
Lasso,30.0,0.016666666666666666,X1^2 X2^2,-0.0
Lasso,30.0,0.016666666666666666,X1 X2^3,0.0
Lasso,30.0,0.016666666666666666,X2^4,0.0
Lasso,30.0,0.016666666666666666,X1^5,-0.0
Lasso,30.0,0.016666666666666666,X1^4 X2,-0.0
Lasso,30.0,0.016666666666666666,X1^3 X2^2,0.0033037411911576624
Lasso,30.0,0.016666666666666666,X1^2 X2^3,0.0
Lasso,30.0,0.016666666666666666,X1 X2^4,0.0
Lasso,30.0,0.016666666666666666,X2^5,0.04327502379641657
Lasso,30.0,0.016666666666666666,intercepto,-0.24228776288377363
Lasso,100.0,0.005,X1,-0.011776894003214822
Lasso,100.0,0.005,X2,0.5355665986462158
Lasso,100.0,0.005,X1^2,-0.2930572674794417
Lasso,100.0,0.005,X1 X2,0.0012763557113419522
Lasso,100.0,0.005,X2^2,-0.0
Lasso,100.0,0.005,X1^3,-0.0
Lasso,100.0,0.005,X1^2 X2,-0.0
Lasso,100.0,0.005,X1 X2^2,0.0
Lasso,100.0,0.005,X2^3,0.0
Lasso,100.0,0.005,X1^4,-0.0
Lasso,100.0,0.005,X1^3 X2,0.007534377499440646
Lasso,100.0,0.005,X1^2 X2^2,0.002768015594356005
Lasso,100.0,0.005,X1 X2^3,-0.0
Lasso,100.0,0.005,X2^4,-0.0
Lasso,100.0,0.005,X1^5,-0.02110737360841437
Lasso,100.0,0.005,X1^4 X2,-0.003274062684128756
Lasso,100.0,0.005,X1^3 X2^2,0.03595630594906954
Lasso,100.0,0.005,X1^2 X2^3,-0.0
Lasso,100.0,0.005,X1 X2^4,0.0
Lasso,100.0,0.005,X2^5,0.04537212544911653
Lasso,100.0,0.005,intercepto,-0.24228776288377363
Lasso,300.0,0.0016666666666666668,X1,-0.016604474797131508
Lasso,300.0,0.0016666666666666668,X2,0.5449554591844074
Lasso,300.0,0.0016666666666666668,X1^2,-0.3046755415141135
Lasso,300.0,0.0016666666666666668,X1 X2,0.031035011528513196
Lasso,300.0,0.0016666666666666668,X2^2,-0.0
Lasso,300.0,0.0016666666666666668,X1^3,-0.0
Lasso,300.0,0.0016666666666666668,X1^2 X2,-0.010651187856011593
Lasso,300.0,0.0016666666666666668,X1 X2^2,-0.0
Lasso,300.0,0.0016666666666666668,X2^3,0.0
Lasso,300.0,0.0016666666666666668,X1^4,-0.0
Lasso,300.0,0.0016666666666666668,X1^3 X2,0.010030187464835673
Lasso,300.0,0.0016666666666666668,X1^2 X2^2,0.02125527820098627
Lasso,300.0,0.0016666666666666668,X1 X2^3,-0.03001138403132145
Lasso,300.0,0.0016666666666666668,X2^4,-0.013643629800228875
Lasso,300.0,0.0016666666666666668,X1^5,-0.03229702033563444
Lasso,300.0,0.0016666666666666668,X1^4 X2,-0.0
Lasso,300.0,0.0016666666666666668,X1^3 X2^2,0.04879103124921051
Lasso,300.0,0.0016666666666666668,X1^2 X2^3,-0.0019559213406542615
Lasso,300.0,0.0016666666666666668,X1 X2^4,-0.00019410518831805028
Lasso,300.0,0.0016666666666666668,X2^5,0.04881886542628552
Lasso,300.0,0.0016666666666666668,intercepto,-0.24228776288377363
Lasso,500.0,0.001,X1,-0.015253118630951955
Lasso,500.0,0.001,X2,0.54680437902477
Lasso,500.0,0.001,X1^2,-0.3073294613132266
Lasso,500.0,0.001,X1 X2,0.03998361998684643
Lasso,500.0,0.001,X2^2,-0.0001631831921675185
Lasso,500.0,0.001,X1^3,-0.0
Lasso,500.0,0.001,X1^2 X2,-0.010467850878914131
Lasso,500.0,0.001,X1 X2^2,-0.0
Lasso,500.0,0.001,X2^3,0.0
Lasso,500.0,0.001,X1^4,-0.0
Lasso,500.0,0.001,X1^3 X2,0.009696766228429781
Lasso,500.0,0.001,X1^2 X2^2,0.025576352538583133
Lasso,500.0,0.001,X1 X2^3,-0.03837723367305332
Lasso,500.0,0.001,X2^4,-0.017191277982071717
Lasso,500.0,0.001,X1^5,-0.03758106561570356
Lasso,500.0,0.001,X1^4 X2,-0.0
Lasso,500.0,0.001,X1^3 X2^2,0.05550132776356498
Lasso,500.0,0.001,X1^2 X2^3,-0.004592650244052099
Lasso,500.0,0.001,X1 X2^4,-0.004736597937547893
Lasso,500.0,0.001,X2^5,0.05002875233729295
Lasso,500.0,0.001,intercepto,-0.24228776288377363
Lasso,1000.0,0.0005,X1,-0.014215680886226465
Lasso,1000.0,0.0005,X2,0.5482444012685421
Lasso,1000.0,0.0005,X1^2,-0.309473409782636
Lasso,1000.0,0.0005,X1 X2,0.046729061098307545
Lasso,1000.0,0.0005,X2^2,-0.0018286805895641955
Lasso,1000.0,0.0005,X1^3,0.0
